NCM,PARAMETRIZAÇÃO
72254090,4202
72255010,4202
72255090,4202
72259100,4202
72259200,4202
72259910,4202
72259990,4202
72261100,4202
72261900,4202
72262010,4202
72262090,4202
72269100,4202
72269200,4202
72269900,4202
72271000,4202
72272000,4202
72279000,4202
72281010,4202
72281090,4202
72282000,4202
72283000,4202
72284000,4202
72285000,4202
72286000,4202
72287000,4202
72288000,4202
72292000,4202
72299000,4202
73011000,4202
73012000,4202
73021010,4202
73021090,4202
73023000,4202
73024000,4202
73029000,4202
73030000,4202
73041100,4202
73041900,4202
73042200,4202
73042310,4202
73042390,4202
73042400,4202
73042910,4202
73042931,4202
73042939,4202
73042990,4202
73043110,4202
73043190,4202
73043910,4202
73043920,4202
73043990,4202
73044110,4202
73044190,4202
73044900,4202
73045111,4202
73045119,4202
73045190,4202
73045911,4202
73045919,4202
73045990,4202
73049011,4202
73049019,4202
73049090,4202
73051100,4202
73051200,4202
73051900,4202
73052000,4202
73053100,4202
73053900,4202
73059000,4202
73061100,4202
73061900,4202
73062100,4202
73062900,4202
73063000,4202
73064000,4202
73065000,4202
73066100,4202
73066900,4202
73069010,4202
73069020,4202
73069090,4202
73071100,4202
73071910,4202
73071920,4202
73071990,4202
73072100,4202
73072200,4202
73072300,4202
73072900,4202
73079100,4202
73079200,4202
73079300,4202
73079900,4202
73081000,4202
73082000,4202
73083000,4202
73084000,4202
73089010,4358
73089090,4202
73090010,4209
73090020,4202
73090090,4202
73101010,4202
73101090,4202
73102110,4202
73102190,4202
73102910,4202
73102920,4202
73102990,4202
7039010,4202
7052100,4003
7052900,4003
7069000,4003
7082000,4003
7089000,4201
7092000,4003
7095900,4003
7099200,4202
7099990,4003
7101000,4003
7102100,4202
7102200,4202
7102900,4202
7103000,4202
72085100,4202
72085200,4202
72085300,4202
72085400,4202
72089000,4202
72091500,4202
72091600,4202
72091700,4202
72091800,4202
72092500,4202
72092600,4202
72092700,4202
72092800,4202
72099000,4202
72101100,4202
72101200,4202
72102000,4202
72103010,4202
72103090,4202
72104110,4202
72104190,4202
72104910,4202
72104990,4202
72105000,4202
72106100,4202
72106911,4202
72106919,4202
72106990,4202
72107010,4202
72107020,4202
72109000,4202
72111300,4202
72111400,4202
72111900,4202
72112300,4202
72112910,4202
72112920,4202
72119010,4202
72119090,4202
72121000,4202
72122010,4202
72122090,4202
72123000,4202
72124010,4202
72124021,4202
72124029,4202
72125010,4202
72125090,4202
72126000,4202
72131000,4358
72132000,4358
72139110,4358
72139190,4358
72139910,4358
72139990,4358
72141010,4202
72141090,4202
72142000,4358
72143000,4202
72149100,4202
72149910,4202
72149990,4202
72151000,4202
72155000,4202
72159010,4202
72159090,4202
72161000,4202
72162100,4202
72162200,4202
72163100,4358
72163200,4358
72163300,4202
72164010,4202
72164090,4202
72165000,4202
72166110,4202
72166190,4202
72166910,4202
72166990,4202
72169100,4202
72169900,4202
72171011,4202
72171019,4202
72171090,     
72172010,4358
72172090,4358
72173010,4202
72173090,4202
72179000,4202
72181000,4202
72189100,4202
72189900,4202
72191100,4202
72191200,4202
72191300,4202
72191400,4202
72192100,4202
72192200,4202
72192300,4202
72192400,4202
72193100,4202
72193200,4202
3056400,4201
3056910,4202
3056990,4202
3057100,4202
3057200,4202
3057900,4202
3061110,4202
3061190,4202
3061200,4202
3061400,4202
3061500,4202
3061610,4202
3061690,4202
3061710,4202
3061790,4202
3061910,4202
3061990,4202
3062100,4202
3062200,4202
3062400,4202
3062500,4202
3062600,4202
3062700,4202
29333363,4202
29333369,4202
29333371,4202
29333372,4202
29333379,4202
29333381,4202
29333382,4202
29333383,4202
29333384,4202
29333389,4202
29333391,4202
29333392,4202
29333393,4202
29333399,4202
29333912,4202
29333913,4202
29333914,4202
29333915,4202
29333919,4202
29333921,4202
29333922,4202
29333923,4202
29333924,4202
29333925,4202
29333929,4202
29333931,4202
29333932,4202
29333933,4202
29333934,4202
29333935,4202
29333936,4202
29333939,4202
29333943,4202
29333944,4202
29333945,4202
29333946,4202
29333947,4202
29333948,4202
29333949,4202
29333981,4202
29333982,4202
29333983,4202
29333984,4202
29333989,4202
29333991,4202
29333992,4202
29333993,4202
29333994,4202
29333999,4202
29334110,4202
29334120,4202
29334911,4202
29334912,4202
29334913,4202
29334919,4202
29334920,4202
29334930,4202
29334940,4202
29334990,4202
29335200,4202
29335311,4202
29335312,4202
29335321,4202
29335322,4202
29335323,4202
29335330,4202
29335340,4202
29335350,4202
29335360,4202
29335371,4202
29335372,4202
29335380,4202
29335400,4202
29335510,4202
29335520,4202
29335530,4202
29335540,4202
29335911,4202
29335912,4202
29335913,4202
29335914,4202
29335915,4202
29335916,4202
29335919,4202
29335921,4202
29335922,4202
29335923,4202
29335929,4202
29335931,4202
29335932,4202
29335933,4202
29335934,4202
29335935,4202
29335939,4202
29335941,4202
29335942,4202
29335943,4202
29335944,4202
29335945,4202
29335949,4202
29335991,4202
29335992,4202
29335999,4202
29336100,4202
29336911,4202
29336912,4202
29336913,4202
29336914,4202
29336915,4202
29336916,4202
29336919,4202
29336921,4202
29336922,4202
29336923,4202
29336929,4202
29336991,4202
29336992,4202
29336999,4202
29337100,4202
29337210,4202
29337220,4202
29337910,4202
29337990,4202
29339111,4202
29339112,4202
29339113,4202
29339114,4202
29339115,4202
29339119,4202
29339121,4202
29339122,4202
29339123,4202
29339129,4202
29339131,4202
29339132,4202
29339133,4202
